"","sequencing_sample_id","sample_site_code","rna_plate_number","rna_plate_length","rna_plate_width","rna_sample_plate_position","rna_sample_plate_position_row","rna_sample_plate_position_column","sample_id","timestamp_sample_collected","sample_site_name","sample_city_name","rna_sample_plate_position_ind","sars_cov2_gc_l_mean","raw_ansis_sars_ct_repc_1","raw_ansis_sars_ct_repc_2","raw_ansis_sars_ct_repc_3","analysis_lab_code","analysis_lab_comments","sequencing_lab_code","sequencing_platform","sequencing_run_id","sequencing_run_date","sequencing_library_method","sequencing_library_protocol_version","sequencing_primer_set_version","sequencing_rna_plate_name","sequencing_rna_sample_plate_position","sequencing_lab_comments","data_model_version","grid_reference_east","grid_reference_north","grab_compo_ind","longitude","latitude","delta.mu","delta.se","delta.n","omicron.mu","omicron.se","omicron.n"
"1","","UKENNE_YW_TP000095",2134712,12,8,"G7","G",7,"2109722-01","12122021:0425","HULL STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,516284,429068,"Composite",-0.238218768004057,53.7450263732422,NA,NA,NA,NA,NA,NA
"2","","UKENNE_NU_TP000007",2134712,12,8,"F6","F",6,"2110943-15","12122021:1045","DURHAM (BELMONT) STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","","UKENSW_WXW_TP000012",2134712,12,8,"D4","D",4,"2108816-40","12122021:1000","BRIDPORT STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,347099,90701,"Composite",-2.75064371957482,50.7135202128316,NA,NA,NA,NA,NA,NA
"4","","UKENAN_AW_TP000077",2134712,12,8,"A7","A",7,"2110608-05","12122021:0756","DEREHAM STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,597632,313606,"Grab",0.922397382340026,52.6840823606218,NA,NA,NA,NA,NA,NA
"5","","UKENAN_AW_TP000210",2134712,12,8,"A5","A",5,"2110526-03","12122021:1120","PETERBOROUGH STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,521980,298342,"Grab",-0.201666379103267,52.5692348723099,NA,NA,NA,NA,NA,NA
"6","","UKENMI_ST_TP000241",2134712,12,8,"C10","C",10,"2109645-36","12122021:1000","WORCESTER STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,384619,253411,"Grab",-2.22635536265162,52.1787351245092,NA,NA,NA,NA,NA,NA
"7","","UKENMI_ST_TP000050",2134712,12,8,"D2","D",2,"2109648-15","12122021:1100","CHECKLEY STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,403429,337391,"Grab",-1.95043067348653,52.9339094019438,NA,NA,NA,NA,NA,NA
"8","","UKENAN_AW_TP000060",2134712,12,8,"A9","A",9,"2110572-01","12122021:0840","CLIFTON STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,517700,240244,"Unspecified",-0.285080317794508,52.0480998381035,NA,NA,NA,NA,NA,NA
"9","","UKENMI_ST_TP000147",2134712,12,8,"C6","C",6,"2109670-07","12122021:1115","MARKET DRAYTON STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,366849,333201,"Grab",-2.49421700594328,52.8952253492907,NA,NA,NA,NA,NA,NA
"10","","UKENAN_AW_TP000069",2134712,12,8,"A1","A",1,"2110703-04","12122021:1020","MILTON KEYNES   STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,488411,240500,"Grab",-0.711977913833245,52.0558406759871,NA,NA,NA,NA,NA,NA
