"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"1","Leeds","Woodhouse Hill, Thorpe, Middleton","YW-WOD","",431842,430539,"Grab"
"2","Greater London","Harrow on the Hill","TW-HOH","",NA,NA,"Grab"
"3","Greater London","Newham Folkstone Rd","TW-FSR","",NA,NA,"Grab"
"4","","NEWQUAY STW","UKENSW_SWS_TP000050","",181743,59070,"Composite"
"5","Luton","George St","TW-GRG","",NA,NA,"Grab"
"6","","HERTFORD   STW","UKENTH_TWU_TP000126","",539251,209766,"Grab"
"7","","WIGAN (HOSCAR) STW","UKENNW_UU_TP000133","",348172,411615,"Composite"
"8","","ST IVES AND PENZANCE STW","UKENSW_SWS_TP000031","ST IVES AND PENZANCE   STW",154781,35753,"Grab"
"9","","BIRMINGHAM EAST (COLESHILL) STW","UKENMI_ST_TP000062","",419379,291391,"Grab"
"10","Greater London","LONDON (Becton STW)","UKENTH_TWU_TP000014","LONDON (Becton STW)",545469,181671,"Composite"
"11","Nottingham","Lenton","ST-LNC","",NA,NA,"Grab"
"12","Greater Manchester","Oldham Oxford Street","UU-OOX","",NA,NA,"Grab"
"13","Bristol","Stoke Bishop, Trym","WW-STO","",355316,176205,"Grab"
"14","Bristol","Temple Meads, Eastville, Southville","WW-TEM","",356927,171838,"Grab"
"15","Bristol","Bamfield Rd, Whitchurch, Hengrove","WW-BWH","",NA,NA,"Grab"
"16","","HARROGATE NORTH STW","UKENNE_YW_TP000015","",430429,458201,"Grab"
"17","","OAKHAM STW","UKENAN_AW_TP000201","",487388,308694,"Grab"
"18","","COVENTRY STW","UKENMI_ST_TP000068","COVENTRY  STW",433599,273701,"Grab"
"19","","OXFORD STW","UKENTH_TWU_TP000159","",454389,202231,"Grab"
"21","Greater London","Glencoe Rd","TW-GLN","",NA,NA,"Grab"
"22","","SANDOWN, VENTNOR,BEMBRIDGE   STW""","UKENSO_SW_TP000016","",460200,85191,"Composite"
"23","","LETCHWORTH STW","UKENAN_AW_TP000160","",520724,234620,"Grab"
"24","","LEEK STW","UKENMI_ST_TP000130","",398109,353971,"Grab"
"25","Sheffield","Darnall, Attercliffe","YW-DAR","",438032,389269,"Grab"
"26","","HYDE STW","UKENNW_UU_TP000067","",393789,394841,"Composite"
"27","Exeter","Exeter University Main Campus","SWS-UMC","",NA,NA,"Composite"
"28","Bristol","Horfield, Lockleaze, Ashley Down","WW-HOR","",360063,174228,"Grab"
"29","Sheffield","Dore","YW-DOR","",NA,NA,"Grab"
"32","","FELIXSTOWE STW","UKENAN_AW_TP000096","",628955,233284,"Grab"
"33","Newcastle","Newcastle -Newcastle City","NW-CIT","",423771,564617,"Grab"
"34","","SOUTHEND SEWAGE WORKS, SOUTHEND ON""","UKENAN_AW_TP000307","",587999,187601,"Grab"
"35","Greater Manchester","Oldham Lees","UU-OLE","",NA,NA,"Grab"
"36","Bristol","Hotwells and Central","WW-HOT","",356558,172821,"Grab"
"37","Liverpool","Hoylake (NORTH WIRRAL [MEOLS] ) STW","UKENNW_UU_TP000095","LIVERPOOL (SANDON [NORTH LIVERPOOL DOCKS] ) STW",324149,390251,"Composite"
"38","Exeter","Exeter West and Exminster","SWS-EEX","",NA,NA,"Composite"
"39","Birmingham","Regina Drive","ST-BRD","",406197,291165,"Grab"
"41","Greater London","Effra Branch Sewer","TW-EBS","",NA,NA,"Grab"
"42","","REEPHAM   STW","UKENAN_AW_TP000219","",610490,322708,"Grab"
"43","Leeds","Armley","YW-ARM","",427671,433977,"Grab"
"44","Exeter","Exeter East","SWS-EAS","",NA,NA,"Composite"
"45","Newcastle","Newcastle - Byker","NW-BKR","",427106,564302,"Grab"
"46","","SCUNTHORPE STW","UKENMI_ST_TP000186","",487449,405991,"Grab"
"47","","CHESHAM, BUCKS STW""","UKENTH_TWU_TP000039","",498089,199521,"Grab"
