sample_city_name,sample_site_name,sample_site_code,ons_site_name,grid_reference_east,grid_reference_north,grab_compo_ind
Leeds,"Woodhouse Hill, Thorpe, Middleton",YW-WOD,,431842,430539,Grab
Greater London,Harrow on the Hill,TW-HOH,,515159,186980,Grab
Greater London,Newham Folkstone Rd,TW-FSR,,543677,182937,Grab
,NEWQUAY STW,UKENSW_SWS_TP000050,,181743,59070,Composite
Luton,George St,TW-GRG,,509182,221180,Grab
,HERTFORD   STW,UKENTH_TWU_TP000126,,539251,209766,Grab
,WIGAN (HOSCAR) STW,UKENNW_UU_TP000133,,348172,411615,Composite
,ST IVES AND PENZANCE STW,UKENSW_SWS_TP000031,ST IVES AND PENZANCE   STW,154781,35753,Grab
,BIRMINGHAM EAST (COLESHILL) STW,UKENMI_ST_TP000062,,419379,291391,Grab
Greater London,LONDON (Becton STW),UKENTH_TWU_TP000014,LONDON (Becton STW),545469,181671,Composite
Nottingham,Lenton,ST-LNC,,455360,339179,Grab
Greater Manchester,Oldham Oxford Street,UU-OOX,,391179,404209,Grab
Bristol,"Stoke Bishop, Trym",WW-STO,,355316,176205,Grab
Bristol,"Temple Meads, Eastville, Southville",WW-TEM,,356927,171838,Grab
Bristol,"Bamfield Rd, Whitchurch, Hengrove",WW-BWH,,359762,169295,Grab
,HARROGATE NORTH STW,UKENNE_YW_TP000015,,430429,458201,Grab
,OAKHAM STW,UKENAN_AW_TP000201,,487388,308694,Grab
,COVENTRY STW,UKENMI_ST_TP000068,COVENTRY  STW,433599,273701,Grab
,OXFORD STW,UKENTH_TWU_TP000159,,454389,202231,Grab
Greater London,Glencoe Rd,TW-GLN,,512144,182138,Grab
,"SANDOWN, VENTNOR,BEMBRIDGE   STW""",UKENSO_SW_TP000016,,460200,85191,Composite
,LETCHWORTH STW,UKENAN_AW_TP000160,,520724,234620,Grab
,LEEK STW,UKENMI_ST_TP000130,,398109,353971,Grab
Sheffield,"Darnall, Attercliffe",YW-DAR,,438032,389269,Grab
,HYDE STW,UKENNW_UU_TP000067,,393789,394841,Composite
Exeter,Exeter University Main Campus,SWS-UMC,,291819,93967,Composite
Bristol,"Horfield, Lockleaze, Ashley Down",WW-HOR,,360063,174228,Grab
Sheffield,Dore,YW-DOR,,430713,381138,Grab
,FELIXSTOWE STW,UKENAN_AW_TP000096,,628955,233284,Grab
Newcastle,Newcastle -Newcastle City,NW-CIT,,423771,564617,Grab
,"SOUTHEND SEWAGE WORKS, SOUTHEND ON""",UKENAN_AW_TP000307,,587999,187601,Grab
Greater Manchester,Oldham Lees,UU-OLE,,395236,404626,Grab
Bristol,Hotwells and Central,WW-HOT,,356558,172821,Grab
Liverpool,Hoylake (NORTH WIRRAL [MEOLS] ) STW,UKENNW_UU_TP000095,LIVERPOOL (SANDON [NORTH LIVERPOOL DOCKS] ) STW,324149,390251,Composite
Exeter,Exeter West and Exminster,SWS-EEX,,294473,87706,Composite
Birmingham,Regina Drive,ST-BRD,,406197,291165,Grab
Greater London,Effra Branch Sewer,TW-EBS,,545527,170751,Grab
,REEPHAM   STW,UKENAN_AW_TP000219,,610490,322708,Grab
Leeds,Armley,YW-ARM,,427671,433977,Grab
Newcastle,Newcastle - Byker,NW-BKR,,427106,564302,Grab
,SCUNTHORPE STW,UKENMI_ST_TP000186,,487449,405991,Grab
,"CHESHAM, BUCKS STW""",UKENTH_TWU_TP000039,,498089,199521,Grab
,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,,433599,566401,Composite
,NUNEATON STW,UKENMI_ST_TP000164,,433479,295881,Grab
,MARKET DRAYTON STW,UKENMI_ST_TP000147,,366849,333201,Grab
,BRACKLEY   STW,UKENAN_AW_TP000028,,460045,236099,Grab
,SWANAGE STW,UKENSW_WXW_TP000084,,403559,78651,Composite
Nottingham,Wollaton/Dunkirk,ST-WNB,,452472,339814,Grab
